190;194;100
137;141;101
431;432;101
617;620;101
736;738;101
374;377;102
2;6;102
451;454;102
353;354;102
353;356;102
702;705;103
349;350;103
602;603;104
176;178;104
644;648;104
688;692;104
195;199;104
510;514;104
141;143;105
145;147;105
204;206;105
72;73;105
406;407;106
431;434;106
14;16;107
468;471;107
653;654;107
493;495;107
363;367;107
284;288;107
632;636;108
177;181;108
339;342;108
568;570;108
693;694;108
239;241;108
265;266;108
537;539;109
695;696;109
622;623;110
625;628;110
360;361;110
611;615;110
24;28;110
286;289;111
349;353;111
724;726;111
517;518;111
739;742;111
148;150;112
435;439;112
336;340;112
264;266;112
157;159;113
459;461;113
509;512;113
695;698;113
170;173;114
731;734;114
129;131;115
271;273;115
273;275;115
58;59;115
6;10;116
737;741;116
376;378;116
260;262;117
727;728;117
251;252;118
89;91;119
530;534;119
533;535;119
442;444;119
283;287;120
234;238;120
12;13;120
1;5;121
11;13;121
730;731;121
260;261;121
64;66;121
283;286;121
603;606;121
75;76;122
71;74;122
168;172;122
531;534;122
383;384;123
558;562;123
96;99;123
669;671;123
745;746;123
390;394;124
432;433;124
379;383;124
370;372;124
527;530;125
663;664;125
447;450;125
394;398;125
292;296;126
332;335;126
467;468;126
393;394;127
137;138;127
217;221;127
318;321;127
525;527;128
18;22;128
607;610;128
64;67;128
59;61;128
30;32;129
179;181;129
32;34;129
561;563;129
163;167;129
358;362;129
376;379;129
646;650;129
479;482;130
297;301;130
519;522;131
464;468;131
112;116;132
303;306;132
661;663;132
245;247;132
438;442;132
360;362;132
648;650;133
520;524;133
50;51;133
314;315;134
317;318;134
404;407;135
374;375;135
458;459;135
381;383;135
699;700;135
207;208;135
543;546;135
686;689;136
21;23;136
504;508;136
476;479;136
320;323;136
166;167;137
6;8;137
78;82;138
52;54;138
677;681;139
143;147;139
183;184;139
129;132;139
503;504;140
39;42;140
53;57;140
20;22;140
310;311;141
210;213;141
491;493;141
272;274;141
655;658;142
735;737;143
508;512;143
182;185;143
575;578;143
723;727;143
253;254;144
672;674;144
664;667;145
719;720;145
229;233;145
255;256;146
721;722;146
59;63;146
388;390;147
259;260;147
77;81;147
484;487;147
118;120;147
262;265;147
34;36;147
444;447;148
564;566;148
140;142;150
718;721;150
476;478;151
89;90;152
126;127;152
70;71;152
641;645;153
287;291;153
258;261;153
560;561;153
746;747;153
111;113;154
276;278;154
33;37;154
645;649;154
256;260;154
436;439;155
591;595;155
15;18;156
578;580;156
106;110;156
142;143;156
524;528;156
400;401;157
133;136;157
581;584;158
